[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[121]	validation_0-merror:0.33023	validation_0-mlogloss:2.32018	validation_1-merror:0.45518	validation_1-mlogloss:2.81305
[122]	validation_0-merror:0.32994	validation_0-mlogloss:2.31248	validation_1-merror:0.45518	validation_1-mlogloss:2.80866
[123]	validation_0-merror:0.32867	validation_0-mlogloss:2.30495	validation_1-merror:0.45605	validation_1-mlogloss:2.80391
[124]	validation_0-merror:0.32797	validation_0-mlogloss:2.29758	validation_1-merror:0.45431	validation_1-mlogloss:2.79967
[125]	validation_0-merror:0.32458	validation_0-mlogloss:2.29017	validation_1-merror:0.45257	validation_1-mlogloss:2.79538
[126]	validation_0-merror:0.32401	validation_0-mlogloss:2.28301	validation_1-merror:0.45170	validation_1-mlogloss:2.79139
[127]	validation_0-merror:0.32331	validation_0-mlogloss:2.27582	validation_1-merror:0.45170	validation_1-mlogloss:2.78731
[128]	validation_0-merror:0.32147	validation_0-mlogloss:2.26877	validation_1-merror:0.45083	validation_1-mlogloss:2.78366
[129]	validation_0-merror:0.31977	validation_0-mlogloss:2.26184	validation_1-merror:0.45083	validation_1-mlogloss:2.77888
[130]	validation_0-merror:0.31949	validation_0-mlogloss:2.25509	validation_1-merror:0.44996	validation_1-mlogloss:2.77476
[131]	validation_0-merror:0.31836	validation_0-mlogloss:2.24837	validation_1-merror:0.44996	validation_1-mlogloss:2.77118
[132]	validation_0-merror:0.31766	validation_0-mlogloss:2.24158	validation_1-merror:0.44996	validation_1-mlogloss:2.76732
[133]	validation_0-merror:0.31638	validation_0-mlogloss:2.23502	validation_1-merror:0.45083	validation_1-mlogloss:2.76366
[134]	validation_0-merror:0.31483	validation_0-mlogloss:2.22849	validation_1-merror:0.44909	validation_1-mlogloss:2.75977
[135]	validation_0-merror:0.31370	validation_0-mlogloss:2.22196	validation_1-merror:0.44735	validation_1-mlogloss:2.75523
[136]	validation_0-merror:0.31314	validation_0-mlogloss:2.21566	validation_1-merror:0.44648	validation_1-mlogloss:2.75162
[137]	validation_0-merror:0.31229	validation_0-mlogloss:2.20938	validation_1-merror:0.44560	validation_1-mlogloss:2.74822
[138]	validation_0-merror:0.31116	validation_0-mlogloss:2.20312	validation_1-merror:0.44299	validation_1-mlogloss:2.74516
[139]	validation_0-merror:0.31017	validation_0-mlogloss:2.19682	validation_1-merror:0.44386	validation_1-mlogloss:2.74148
[140]	validation_0-merror:0.30932	validation_0-mlogloss:2.19069	validation_1-merror:0.44212	validation_1-mlogloss:2.73787
[141]	validation_0-merror:0.30819	validation_0-mlogloss:2.18445	validation_1-merror:0.44125	validation_1-mlogloss:2.73384
[142]	validation_0-merror:0.30692	validation_0-mlogloss:2.17852	validation_1-merror:0.44125	validation_1-mlogloss:2.73049
[143]	validation_0-merror:0.30508	validation_0-mlogloss:2.17236	validation_1-merror:0.43951	validation_1-mlogloss:2.72711
[144]	validation_0-merror:0.30438	validation_0-mlogloss:2.16644	validation_1-merror:0.43951	validation_1-mlogloss:2.72404
[145]	validation_0-merror:0.30325	validation_0-mlogloss:2.16054	validation_1-merror:0.43864	validation_1-mlogloss:2.72067
[146]	validation_0-merror:0.30254	validation_0-mlogloss:2.15455	validation_1-merror:0.43864	validation_1-mlogloss:2.71725
[147]	validation_0-merror:0.30169	validation_0-mlogloss:2.14890	validation_1-merror:0.43777	validation_1-mlogloss:2.71388
[148]	validation_0-merror:0.30071	validation_0-mlogloss:2.14311	validation_1-merror:0.43777	validation_1-mlogloss:2.71086
[149]	validation_0-merror:0.30014	validation_0-mlogloss:2.13737	validation_1-merror:0.43777	validation_1-mlogloss:2.70760
[150]	validation_0-merror:0.29944	validation_0-mlogloss:2.13163	validation_1-merror:0.43951	validation_1-mlogloss:2.70408
[151]	validation_0-merror:0.29859	validation_0-mlogloss:2.12610	validation_1-merror:0.43864	validation_1-mlogloss:2.70082
