[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[123]	validation_0-merror:0.16104	validation_0-mlogloss:0.97408	validation_1-merror:0.34039	validation_1-mlogloss:1.72298
[124]	validation_0-merror:0.15988	validation_0-mlogloss:0.96618	validation_1-merror:0.34042	validation_1-mlogloss:1.71831
[125]	validation_0-merror:0.15865	validation_0-mlogloss:0.95849	validation_1-merror:0.34020	validation_1-mlogloss:1.71372
[126]	validation_0-merror:0.15757	validation_0-mlogloss:0.95077	validation_1-merror:0.33978	validation_1-mlogloss:1.70917
[127]	validation_0-merror:0.15641	validation_0-mlogloss:0.94320	validation_1-merror:0.33965	validation_1-mlogloss:1.70467
[128]	validation_0-merror:0.15525	validation_0-mlogloss:0.93573	validation_1-merror:0.33932	validation_1-mlogloss:1.70026
[129]	validation_0-merror:0.15416	validation_0-mlogloss:0.92818	validation_1-merror:0.33908	validation_1-mlogloss:1.69593
[130]	validation_0-merror:0.15295	validation_0-mlogloss:0.92090	validation_1-merror:0.33838	validation_1-mlogloss:1.69167
[131]	validation_0-merror:0.15187	validation_0-mlogloss:0.91372	validation_1-merror:0.33852	validation_1-mlogloss:1.68744
[132]	validation_0-merror:0.15065	validation_0-mlogloss:0.90661	validation_1-merror:0.33816	validation_1-mlogloss:1.68328
[133]	validation_0-merror:0.14937	validation_0-mlogloss:0.89953	validation_1-merror:0.33771	validation_1-mlogloss:1.67918
[134]	validation_0-merror:0.14821	validation_0-mlogloss:0.89252	validation_1-merror:0.33775	validation_1-mlogloss:1.67517
[135]	validation_0-merror:0.14710	validation_0-mlogloss:0.88564	validation_1-merror:0.33736	validation_1-mlogloss:1.67120
[136]	validation_0-merror:0.14598	validation_0-mlogloss:0.87876	validation_1-merror:0.33698	validation_1-mlogloss:1.66725
[137]	validation_0-merror:0.14484	validation_0-mlogloss:0.87207	validation_1-merror:0.33705	validation_1-mlogloss:1.66338
[138]	validation_0-merror:0.14381	validation_0-mlogloss:0.86535	validation_1-merror:0.33652	validation_1-mlogloss:1.65952
[139]	validation_0-merror:0.14273	validation_0-mlogloss:0.85875	validation_1-merror:0.33640	validation_1-mlogloss:1.65573
[140]	validation_0-merror:0.14154	validation_0-mlogloss:0.85225	validation_1-merror:0.33609	validation_1-mlogloss:1.65205
[141]	validation_0-merror:0.14055	validation_0-mlogloss:0.84578	validation_1-merror:0.33604	validation_1-mlogloss:1.64835
[142]	validation_0-merror:0.13958	validation_0-mlogloss:0.83928	validation_1-merror:0.33581	validation_1-mlogloss:1.64473
[143]	validation_0-merror:0.13852	validation_0-mlogloss:0.83294	validation_1-merror:0.33559	validation_1-mlogloss:1.64120
[144]	validation_0-merror:0.13752	validation_0-mlogloss:0.82668	validation_1-merror:0.33541	validation_1-mlogloss:1.63761
[145]	validation_0-merror:0.13650	validation_0-mlogloss:0.82045	validation_1-merror:0.33508	validation_1-mlogloss:1.63411
[146]	validation_0-merror:0.13548	validation_0-mlogloss:0.81436	validation_1-merror:0.33484	validation_1-mlogloss:1.63067
[147]	validation_0-merror:0.13439	validation_0-mlogloss:0.80830	validation_1-merror:0.33464	validation_1-mlogloss:1.62728
[148]	validation_0-merror:0.13336	validation_0-mlogloss:0.80234	validation_1-merror:0.33417	validation_1-mlogloss:1.62396
[149]	validation_0-merror:0.13239	validation_0-mlogloss:0.79644	validation_1-merror:0.33394	validation_1-mlogloss:1.62067
[150]	validation_0-merror:0.13130	validation_0-mlogloss:0.79058	validation_1-merror:0.33388	validation_1-mlogloss:1.61734
[151]	validation_0-merror:0.13027	validation_0-mlogloss:0.78475	validation_1-merror:0.33386	validation_1-mlogloss:1.61407
[152]	validation_0-merror:0.12930	validation_0-mlogloss:0.77895	validation_1-merror:0.33371	validation_1-mlogloss:1.61086
[153]	validation_0-merror:0.12837	validation_0-mlogloss:0.77325	validation_1-merror:0.33342	validation_1-mlogloss:1.60774
[154]	validation_0-merror:0.12752	validation_0-mlogloss:0.76759	validation_1-merror:0.33329	validation_1-mlogloss:1.60464
[155]	validation_0-merror:0.12647	validation_0-mlogloss:0.76198	validation_1-merror:0.33336	validation_1-mlogloss:1.60159
[156]	validation_0-merror:0.12552	validation_0-mlogloss:0.75644	validation_1-merror:0.33316	validation_1-mlogloss:1.59857
[157]	validation_0-merror:0.12450	validation_0-mlogloss:0.75104	validation_1-merror:0.33298	validation_1-mlogloss:1.59566
[158]	validation_0-merror:0.12358	validation_0-mlogloss:0.74555	validation_1-merror:0.33257	validation_1-mlogloss:1.59274
[159]	validation_0-merror:0.12259	validation_0-mlogloss:0.74024	validation_1-merror:0.33252	validation_1-mlogloss:1.58982
[160]	validation_0-merror:0.12168	validation_0-mlogloss:0.73491	validation_1-merror:0.33220	validation_1-mlogloss:1.58698
[161]	validation_0-merror:0.12059	validation_0-mlogloss:0.72959	validation_1-merror:0.33196	validation_1-mlogloss:1.58410
[162]	validation_0-merror:0.11981	validation_0-mlogloss:0.72443	validation_1-merror:0.33180	validation_1-mlogloss:1.58125
[163]	validation_0-merror:0.11889	validation_0-mlogloss:0.71930	validation_1-merror:0.33154	validation_1-mlogloss:1.57843
[164]	validation_0-merror:0.11791	validation_0-mlogloss:0.71419	validation_1-merror:0.33136	validation_1-mlogloss:1.57567
[165]	validation_0-merror:0.11699	validation_0-mlogloss:0.70914	validation_1-merror:0.33132	validation_1-mlogloss:1.57299
[166]	validation_0-merror:0.11606	validation_0-mlogloss:0.70417	validation_1-merror:0.33106	validation_1-mlogloss:1.57028
[167]	validation_0-merror:0.11510	validation_0-mlogloss:0.69922	validation_1-merror:0.33095	validation_1-mlogloss:1.56761
[168]	validation_0-merror:0.11412	validation_0-mlogloss:0.69428	validation_1-merror:0.33080	validation_1-mlogloss:1.56499
[169]	validation_0-merror:0.11334	validation_0-mlogloss:0.68944	validation_1-merror:0.33086	validation_1-mlogloss:1.56238
[170]	validation_0-merror:0.11242	validation_0-mlogloss:0.68468	validation_1-merror:0.33077	validation_1-mlogloss:1.55986
[171]	validation_0-merror:0.11146	validation_0-mlogloss:0.67996	validation_1-merror:0.33060	validation_1-mlogloss:1.55735
[172]	validation_0-merror:0.11064	validation_0-mlogloss:0.67527	validation_1-merror:0.33036	validation_1-mlogloss:1.55486
[173]	validation_0-merror:0.10971	validation_0-mlogloss:0.67066	validation_1-merror:0.32999	validation_1-mlogloss:1.55246
[174]	validation_0-merror:0.10886	validation_0-mlogloss:0.66604	validation_1-merror:0.32999	validation_1-mlogloss:1.55008
[175]	validation_0-merror:0.10791	validation_0-mlogloss:0.66151	validation_1-merror:0.32986	validation_1-mlogloss:1.54768
[176]	validation_0-merror:0.10710	validation_0-mlogloss:0.65699	validation_1-merror:0.32957	validation_1-mlogloss:1.54535
[177]	validation_0-merror:0.10622	validation_0-mlogloss:0.65253	validation_1-merror:0.32931	validation_1-mlogloss:1.54297
[178]	validation_0-merror:0.10536	validation_0-mlogloss:0.64814	validation_1-merror:0.32913	validation_1-mlogloss:1.54065
[179]	validation_0-merror:0.10454	validation_0-mlogloss:0.64368	validation_1-merror:0.32907	validation_1-mlogloss:1.53835
[180]	validation_0-merror:0.10370	validation_0-mlogloss:0.63934	validation_1-merror:0.32883	validation_1-mlogloss:1.53605
[181]	validation_0-merror:0.10290	validation_0-mlogloss:0.63501	validation_1-merror:0.32879	validation_1-mlogloss:1.53386
[182]	validation_0-merror:0.10209	validation_0-mlogloss:0.63079	validation_1-merror:0.32863	validation_1-mlogloss:1.53164
[183]	validation_0-merror:0.10136	validation_0-mlogloss:0.62651	validation_1-merror:0.32861	validation_1-mlogloss:1.52940
[184]	validation_0-merror:0.10055	validation_0-mlogloss:0.62228	validation_1-merror:0.32874	validation_1-mlogloss:1.52723
[185]	validation_0-merror:0.09981	validation_0-mlogloss:0.61814	validation_1-merror:0.32861	validation_1-mlogloss:1.52508
[186]	validation_0-merror:0.09903	validation_0-mlogloss:0.61402	validation_1-merror:0.32820	validation_1-mlogloss:1.52297
[187]	validation_0-merror:0.09825	validation_0-mlogloss:0.60990	validation_1-merror:0.32817	validation_1-mlogloss:1.52083
[188]	validation_0-merror:0.09750	validation_0-mlogloss:0.60593	validation_1-merror:0.32806	validation_1-mlogloss:1.51871
[189]	validation_0-merror:0.09679	validation_0-mlogloss:0.60193	validation_1-merror:0.32791	validation_1-mlogloss:1.51669
[190]	validation_0-merror:0.09601	validation_0-mlogloss:0.59799	validation_1-merror:0.32778	validation_1-mlogloss:1.51466
[191]	validation_0-merror:0.09521	validation_0-mlogloss:0.59412	validation_1-merror:0.32782	validation_1-mlogloss:1.51268
[192]	validation_0-merror:0.09454	validation_0-mlogloss:0.59025	validation_1-merror:0.32760	validation_1-mlogloss:1.51067
[193]	validation_0-merror:0.09390	validation_0-mlogloss:0.58638	validation_1-merror:0.32758	validation_1-mlogloss:1.50866
